Data for the game of the goose
The format of the lines is: #s:$id$|$space_name$|$north$|$east$|$south$|$west$|$obj_id$|$obj_name$|$gdesc[0]$|$gdesc[1]$|$gdesc[2]$|$idLinkN$|$spaceLinkN$|$nameLinkN$|$statusLinkN$|$idLinkE$|$spaceLinkE$|$nameLinkE$|$statusLinkE$|$idLinkS$|$spaceLinkS$|$nameLinkS$|$statusLinkW$|$idLinkW$|$spaceLinkW$|$nameLinkW$|$statusLinkW$|
Only lines starting with #s: are read by the program.
#s:1|Casilla 1|-1|-1|2|-1|1|Mighty stone of mightiness|           |           |           |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:2|Casilla 2|1|-1|3|-1|-1|No object|           |           |           |1|1|2to1|0|-1|-1|-1|-1|2|3|2to3|0|-1|-1|-1|-1|
#s:3|Casilla 3|2|-1|4|-1|2|Toilet brush of damnation|           |           |           |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:4|Casilla 4|3|-1|5|-1|3|Useless crap|           |           |           |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:5|Casilla 5|4|9|6|-1|-1|No object|           | <O)__/    |  \_-/     |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:6|Casilla 6|5|-1|7|-1|-1|No object|           |           |           |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:7|Casilla 7|6|-1|8|-1|-1|No object|           |           |           |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:8|Casilla 8|7|16|9|-1|4|Towel|   ___     |  / _ \    | / / \ \   |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:9|Casilla 9|8|13|10|-1|-1|No object|           | <O)__/    |  \_-/     |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:10|Casilla 10|9|-1|11|-1|-1|No object|           |           |           |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:11|Casilla 11|10|-1|12|-1|-1|No object|           |           |           |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:12|Casilla 12|11|-1|13|-1|-1|No object|           |           |           |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:13|Casilla 13|12|17|14|-1|-1|No object|           | <O)__/    |  \_-/     |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:14|Casilla 14|13|-1|15|-1|-1|No object|           |           |           |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:15|Casilla 15|14|-1|16|-1|-1|No object|           |           |           |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:16|Casilla 16|15|-1|17|8|-1|No object|   ___     |  / _ \    | / / \ \   |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:17|Casilla 17|16|21|18|-1|-1|No object|           | <O)__/    |  \_-/     |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:18|Casilla 18|17|-1|19|-1|-1|No object|           |           |           |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:19|Casilla 19|18|-1|20|-1|-1|No object|           |           |           |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:20|Casilla 20|19|-1|21|-1|-1|No object|           |           |           |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:21|Casilla 21|20|25|22|-1|-1|No object|           | <O)__/    |  \_-/     |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:22|Casilla 22|21|-1|23|1|-1|No object|  ___      | (O O)     |  \m/      |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:23|Casilla 23|22|-1|24|-1|-1|No object|           |           |           |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:24|Casilla 24|23|-1|25|-1|-1|No object|           |           |           |-1|-1|-1|-1|-1|-1|-1|-1|1|2|1to2|0|-1|-1|-1|-1|
#s:25|Casilla 25|24|-1|-1|-1|-1|No object| | <O)__/ | \_-/ |
